price,size_volume_ratio,is_stablecoin,vol_ratio_24h_7d,liquidity_level,liquidity_category
7.162472235546182e-08,0.1819483149370346,0,6.0103010576293405,2,High
1.1388017656676846e-05,0.1759075443736863,0,4.658435585766631,0,Low
3.96608424575441e-07,0.19382429291580605,0,5.2599211682973985,2,High
0.027322042435089962,0.19196399242670042,0,4.675805491210127,2,High
1.977879657046741e-05,0.17680648042166464,0,5.176319476578269,2,High
0.0003166148558242812,0.2094381125801472,0,5.012682311035685,1,Medium
5.313306772913583e-05,0.19152043752235737,0,5.20632183277388,2,High
2.9356626446148507e-05,0.18600581013901338,0,4.303131870577836,2,High
5.430563414801806e-06,0.17994095643044908,0,4.6817771858313195,2,High
1.8265450380387323e-10,0.18293558525132855,0,5.224217961590586,2,High
4.680998972518242e-06,0.18009514227656057,0,5.142931573341763,2,High
1.795570154258219e-05,0.18417446099342696,0,5.111651830986589,2,High
9.825978281725463e-05,0.1583094304554742,0,5.205482288930327,0,Low
7.448334153426731e-05,0.1465661179398671,0,5.041548556205396,0,Low
0.9861878285485667,0.34257753564561855,0,4.632554631095873,1,Medium
1.4791057207816576e-05,0.24967303622812279,0,4.614386982436126,1,Medium
4.5126715052211535e-05,0.21167680975599076,0,4.770891609596497,1,Medium
3.349657684752167e-07,0.15079529697749852,0,4.780280747917908,0,Low
0.00010747921923310687,0.17459271764743295,0,4.829514737026453,2,High
2.819958685279354e-06,0.17299706960230235,0,5.67544919631921,2,High
0.004775425446627762,0.18724123996623263,0,5.86715322634064,1,Medium
1.787503147394348e-05,0.17430143720542698,0,4.868085749126684,2,High
1.97194039906095e-05,0.16876547604732958,0,4.865531325763458,2,High
6.50833979348971e-06,0.16050388866741566,0,5.025846759995156,2,High
2.862877620279175e-05,0.1763694094992973,0,2.8648064868493113,1,Medium
0.00011208893744103299,0.15107535920854506,0,4.827432476057183,0,Low
3.2510644167361114e-05,0.17172448079743263,0,4.113408232701917,1,Medium
1.4706602317912412e-05,0.15437168620451538,0,4.783809142620329,2,High
1.5186192224764582e-06,0.20670504813029184,0,5.74365555018314,1,Medium
0.0002042833015995553,0.1754176152335576,0,4.057513669934048,1,Medium
0.0005526809514196554,0.16432852031956638,0,5.825025712457959,2,High
5.298846782429012e-06,0.14854204442796629,0,4.006595024602611,2,High
